frame,angle_0,angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9
98,50.9287422914539,59.913291773423104,157.68164452518002,158.72398913725874,87.98184012132447,111.09424180266967,97.7613809046959,127.71866922384876,139.98892611839153,142.9462580526748
99,50.88627219707116,60.49024064676346,157.91778336761067,159.33793610399024,87.0790173884853,110.67693858606263,98.85523311363255,130.89847146280528,140.25754004552095,146.67678074537503
100,51.04702160167642,60.362784722926456,158.24832161345876,160.03062603955516,86.6996915154385,106.39836367619903,99.89195990933524,129.06723875441025,137.47233927237377,137.2088781910381
101,51.19235045748597,60.540549446526434,158.20777855685517,159.94531186525268,87.04579973041584,105.49159074850068,101.45809294642561,132.93139865657932,140.41845823071716,142.69893991523756
102,51.277820814311596,59.60777709166856,157.78442581164944,158.85085397684185,90.396566360721,105.61791402222578,107.71687860052705,136.6582908338553,141.13825542653512,142.54049789650853
103,51.43102888276301,59.3176619385128,157.4514700921429,158.86407170939913,92.83454334939012,103.72500212038022,111.89447259962796,130.93816623483156,142.01417647929756,144.60908927908665
104,51.627546329784245,58.227966515880134,156.9756140340326,157.98805970129416,94.47011122313309,96.77311794011493,115.16240226969549,124.11384155451822,143.94222122259677,142.79110740364462
105,51.86055685193528,57.95182155810161,156.50030978541076,158.43003013138807,101.69865266466107,101.19955812027966,126.92615212745551,126.45344598340753,136.61407366791587,136.89303469546002
106,52.24825012558581,57.8095922015289,155.94875676102805,158.7726382741043,108.16664723513553,103.6325510007457,134.34529747949614,128.24207101136517,134.82078920410615,137.70655251265416
107,52.721184063716436,57.94289434611594,155.89212445820112,159.2779965544015,111.07248034367274,106.9158158305624,140.09424559731275,132.03443833177965,136.2599030756685,138.22593682838053
108,53.25893793944244,57.89078136155351,156.13296101337892,159.87522827625793,115.027408044168,110.4159570276053,147.141037552675,136.11277086502196,133.24956670174493,133.3793886463123
109,53.91948102746016,57.13286132672415,156.44196002482676,160.5743157013872,121.24519710367318,106.30511193994711,155.32522008784883,123.4430535703687,143.11520761808026,116.39728506207184
110,53.7880477434238,56.03232966835041,156.17596975936635,160.43873347598958,125.32282959151442,100.80783787724349,163.21796452639805,115.05397288346043,146.8754128952052,125.60553527137583
